time,longitude,latitude,oxygen_temperature_frozen_test,pco2_water_temperature_global_range_test,pco2_temperature,pco2_temperature,pco2_air_temperature,air_temperature,inlet_temperature_frozen_test,pco2_temperature_global_range_test,pco2_water_temperature,rtqc_temperature_difference_test,pco2_water_temperature_frozen_test,pco2_temperature_frozen_test,ctd_temperature_frozen_test,pco2_air_temperature,pco2_water_temperature_frozen_test,pco2_water_temperature,pco2_temperature_frozen_test,pco2_air_temperature_global_range_test,pco2_air_temperature_global_range_test,oxygen_temperature,inlet_temperature,inlet_temperature_global_range_test,water_temperature,ctd_temperature_global_range_test,pco2_water_temperature_global_range_test,pco2_air_temperature_frozen_test,ctd_temperature,pco2_air_temperature_frozen_test,pco2_temperature_global_range_test,temperature,oxygen_temperature_global_range_test
2018-01-31 11:11:04,15.4266,68.7149,0.0,1,4.483349448837745,4.48334944883775,12.13586464124375,11.7,0.0,1,8.699375921141556,1,-1.0,0.0,0.0,12.13586464124375,-1.0,8.699375921141549,0,1,1,5.407179528519765,4.4845709050503295,1,8.55833333333334,1,1,-1,5.096829718070505,-1.0,1,4.49301666666667,1
2018-01-31 21:11:33,13.8405,68.121,1.0,1,4.859718271317775,4.85971827131777,12.2988943225121,12.05,1.0,1,9.17057425603541,1,0.0,1.0,1.0,12.2988943225121,0.0,9.17057425603541,1,1,1,5.746519003370739,4.86095958429561,1,9.100595238095242,1,1,-1,5.45727386802863,-1.0,1,4.82776547619048,1
2018-02-01 07:12:02,13.2747,66.7767,1.0,1,5.452163786093495,5.4521637860934895,12.75554743519475,13.225000000000001,1.0,1,9.833666729207845,1,0.0,1.0,1.0,12.75554743519475,0.0,9.833666729207845,1,1,1,6.340103359513179,5.45261794354839,1,9.813095238095237,1,1,-1,6.04884585035374,-1.0,1,4.992957142857145,1
2018-02-01 17:12:29,11.9045,65.2283,1.0,1,5.76625080537322,5.76625080537322,12.93934360210125,14.05,1.0,1,10.020620179241526,1,-1.0,1.0,1.0,12.93934360210125,-1.0,10.02062017924153,1,1,1,6.635757241026805,5.764585549182195,1,9.98333333333333,1,1,-1,6.35262936449341,-1.0,1,4.8234,1
2018-02-02 03:12:56,9.5797,63.6339,0.0,1,5.877270183980119,5.877270183980125,13.1172405002948,14.05,0.0,1,10.190077920653824,1,-1.0,0.0,0.0,13.1172405002948,-1.0,10.190077920653831,0,1,1,6.755886129275655,5.87477452527666,1,9.98333333333333,1,1,-1,6.46877873805332,-1.0,1,4.8234,1
2018-02-02 13:13:24,8.4315,63.3818,0.0,1,5.874919339332145,5.874919339332145,13.455244332110901,14.05,0.0,1,10.4729977459736,1,-1.0,0.0,0.0,13.455244332110901,-1.0,10.4729977459736,0,1,1,6.817649247198879,5.874534860819326,1,9.98333333333333,1,1,-1,6.512099899334735,-1.0,1,4.8234,1
2018-02-02 23:13:54,6.1508,62.4915,1.0,1,5.592573521373209,5.592573521373205,13.23743803830215,14.05,1.0,1,10.24573363340725,1,-1.0,1.0,1.0,13.23743803830215,-1.0,10.24573363340725,1,1,1,6.564439481400035,5.592193673263695,1,9.98333333333333,1,1,-1,6.25605637254902,-1.0,1,4.8234,1
2018-02-03 09:14:23,4.7336,61.25,1.0,1,5.526634221405375,5.52663422140537,13.17449854962855,14.05,1.0,1,10.2663220521548,1,-1.0,1.0,1.0,13.17449854962855,-1.0,10.26632205215475,1,1,1,6.37669350801068,5.528934482087225,1,9.98333333333333,1,1,-1,6.1161041666666645,-1.0,1,4.8234,1
2018-02-03 19:14:53,5.3107,60.3926,0.0,1,5.707252825573756,5.70725282557375,13.43002151595415,14.05,0.0,1,10.537446413349251,1,-1.0,0.0,0.0,13.43002151595415,-1.0,10.537446413349251,0,1,1,6.501189640181915,5.710715941011236,1,9.98333333333333,1,1,-1,6.2687825374531805,-1.0,1,4.8234,1
2018-02-04 05:15:20,5.2004,61.8228,-1.0,1,5.82168168888445,5.82168168888445,13.9504736047324,14.05,-1.0,1,10.85002502373915,1,-1.0,-1.0,-1.0,13.9504736047324,-1.0,10.8500250237392,-1,1,1,6.697323763913374,5.82208208562482,1,9.98333333333333,1,1,-1,6.429695935189325,-1.0,1,4.8234,1
2018-02-04 15:15:49,6.5166,62.6303,0.0,1,5.764827357324075,5.764827357324075,14.08410388590185,14.05,0.0,1,11.0331950214477,1,-1.0,0.0,0.0,14.08410388590185,-1.0,11.0331950214477,0,1,1,6.64631957560038,5.766184356979175,1,9.98333333333333,1,1,-1,6.377334768703885,-1.0,1,4.8234,1
2018-02-05 01:16:20,9.0444,63.4877,1.0,1,5.435952625185434,5.435952625185434,13.77586699352075,13.875,1.0,1,10.8492149960999,1,-1.0,1.0,1.0,13.77586699352075,-1.0,10.8492149960999,1,1,1,6.312954130659455,5.436479319216305,1,10.441666666666666,1,1,-1,6.04746853354443,-1.0,1,5.271908333333335,1
