time,longitude,latitude,pco2_air_temperature_global_range_test,pco2_temperature_frozen_test,pco2_temperature_global_range_test,inlet_temperature_frozen_test,ctd_temperature_global_range_test,pco2_temperature_frozen_test,pco2_air_temperature_global_range_test,water_temperature,ctd_temperature,ctd_temperature_frozen_test,oxygen_temperature_global_range_test,pco2_water_temperature_frozen_test,pco2_water_temperature_global_range_test,air_temperature,pco2_air_temperature,inlet_temperature_global_range_test,pco2_water_temperature,oxygen_temperature,pco2_air_temperature_frozen_test,pco2_temperature,pco2_air_temperature,pco2_water_temperature_frozen_test,pco2_water_temperature,temperature,pco2_air_temperature_frozen_test,inlet_temperature,rtqc_temperature_difference_test,oxygen_temperature_frozen_test,pco2_water_temperature_global_range_test,pco2_temperature_global_range_test,pco2_temperature
2018-04-07 20:29:29,13.8356,68.1187,1,0.0,1,1.0,1,1,1,10.7181818181818,4.856192810209115,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.15580998108172,-1.0,5.27851649357095,10.638373254288,-1.0,6.1627003952576995,4.98321818181818,-1,4.117570415695415,1,1.0,1,1,4.292272552962685
2018-04-08 06:29:57,13.1684,66.7065,1,-1.0,1,1.0,1,1,1,10.7181818181818,5.38827525252525,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.66593434343434,-1.0,5.27851649357095,11.1063768116041,-1.0,6.97644927536712,4.98321818181818,-1,4.66167929292929,1,0.0,1,1,5.10783586956207
2018-04-08 16:30:25,11.8937,65.2163,1,0.0,1,1.0,1,1,1,10.7181818181818,5.38827525252525,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.66593434343434,-1.0,5.27851649357095,11.1063768116041,-1.0,6.97644927536712,4.98321818181818,-1,4.66167929292929,1,-1.0,1,1,5.10783586956207
2018-04-09 02:30:52,9.7152,63.6534,1,1.0,1,1.0,1,1,1,10.7181818181818,5.438510175282235,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.74081030897207,-1.0,5.27851649357095,11.31162522497415,-1.0,6.8240089514032,4.98321818181818,-1,4.679682783719545,1,-1.0,1,1,4.90293421473471
2018-04-09 12:31:20,8.3439,63.351,1,1.0,1,1.0,1,1,1,10.7181818181818,5.259512300572405,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.60228413104372,0.0,5.27851649357095,11.52088505933555,0.0,6.509293630495955,4.98321818181818,-1,4.457026367068565,1,0.0,1,1,4.45724516711651
2018-04-09 22:31:48,6.153,62.4757,1,0.0,1,1.0,1,1,1,10.7181818181818,5.03027950310559,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.38888198757764,0.0,5.27851649357095,11.5248964803269,0.0,6.34701863355263,4.98321818181818,-1,4.21636645962733,1,1.0,1,1,4.21645777432567
2018-04-10 08:32:17,4.7434,61.1287,1,-1.0,1,1.0,1,1,1,10.7181818181818,5.489403049425135,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.81744631293776,-1.0,5.27851649357095,11.5248964803269,-1.0,6.34701863355263,4.98321818181818,-1,4.735526314920049,1,1.0,1,1,4.21645777432567
2018-04-10 18:32:45,5.3106,60.3926,1,0.0,1,1.0,1,1,1,10.7181818181818,5.630798554282595,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.9198108747044955,-1.0,5.27851649357095,11.5929236675144,0.0,6.88451180965475,4.98321818181818,-1,4.915851632114935,1,1.0,1,1,4.397509004678245
2018-04-11 04:33:13,5.2551,61.8294,1,1.0,1,1.0,1,1,1,10.7181818181818,5.539375024750026,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,5.834797833547835,-1.0,5.27851649357095,12.098936497910351,0.0,7.558234852977446,4.98321818181818,-1,4.78443904893905,1,1.0,1,1,4.7789168024433355
2018-04-11 14:33:40,6.6766,62.653,1,1.0,1,1.0,1,1,1,10.7181818181818,5.76567953667954,1.0,1,-1.0,1,12.9,12.8422882672947,1,10.4546425796424,6.07598455598456,-1.0,5.27851649357095,12.5369221411188,-1.0,7.69446472019802,4.98321818181818,-1,4.991861003861,1,1.0,1,1,4.97927336985585
